;url;sku;start;end
102;http://and-rus.ru/files/calibration/2017/04/%E2%84%96%201837-17-M%20UA-777%205161010101-5161010820.pdf;777;5161010101;5161010820
103;http://and-rus.ru/files/calibration/2017/04/%E2%84%96%201838-17-M%20UA-777%205161009081-5161009740.pdf;777;5161009081;5161009740
104;http://and-rus.ru/files/calibration/2017/04/%E2%84%96%201839-17-M%20UA-777%205161008721-5161008980.pdf;777;5161008721;5161008980
105;http://and-rus.ru/files/calibration/2017/04/%E2%84%96%201840-17-M%20UA-777%205161008181-5161008360.pdf;777;5161008181;5161008360
106;http://and-rus.ru/files/calibration/2017/04/%E2%84%96%202035-17-M%20UA-777%205170200001-5170201000.pdf;777;5170200001;5170201000
107;http://and-rus.ru/files/calibration/2017/04/%E2%84%96%202036-17-M%20UA-777%205170300601-5170311270.pdf;777;5170300601;5170311270
108;http://and-rus.ru/files/calibration/2017/04/%E2%84%96%202037-17-M%20UA-777%205170311771-5170316600.pdf;777;5170311771;5170316600
109;http://and-rus.ru/files/calibration/2017/07/%E2%84%96%203915-17-M%20UA-777%205170311271-5170311770.pdf;777;5170311271;5170311770
110;http://and-rus.ru/files/calibration/2017/07/%E2%84%96%203916-17-M%20UA-777%205170400001-5170401000.pdf;777;5170400001;5170401000
111;http://and-rus.ru/files/calibration/2017/07/%E2%84%96%203917-17-M%20UA-777%205170500001-5170507250.pdf;777;5170500001;5170507250
112;http://and-rus.ru/files/calibration/2017/07/%E2%84%96%203918-17-M%20UA-777%205170509181-5170509660.pdf;777;5170509181;5170509660
113;http://and-rus.ru/files/calibration/2017/07/%E2%84%96%203919-17-M%20UA-777%205170510001-5170511800.pdf;777;5170510001;5170511800
114;http://and-rus.ru/files/calibration/2017/07/%E2%84%96%203920-17-M%20UA-777%205170512521-5170512880.pdf;777;5170512521;5170512880
115;http://and-rus.ru/files/calibration/2017/07/%E2%84%96%203921-17-M%20UA-777%205170513241-5170513600.pdf;777;5170513241;5170513600
